doi,paper_title,year,journal,first_author,authors,publisher,issn,cited_by_count,crossref_type
10.1016/j.jenvman.2024.121907,,2024,Journal of Environmental Management,Dong Li,Dong Li; Chunhua Yang; Yonggang Li; Yan Chen; Daoping Huang; Yiqi Liu,Elsevier BV,0301-4797,6,
10.1088/2631-8695/ae1dc9,,2025,Engineering Research Express,Anqi Fu,Anqi Fu; Tianyu An; Wenjing Li; Junfei Qiao,IOP Publishing,2631-8695,1,
10.14569/ijacsa.2018.090153,,2018,International Journal of Advanced Computer Science and Applications,Hajer Degachi,Hajer Degachi; Wassila Chagra; Moufida Ksouri,The Science and Information Organization,2156-5570,2,
10.1016/j.jenvman.2024.123680,,2025,Journal of Environmental Management,Jani Tomperi,Jani Tomperi; Aki Sorsa; Jari Ruuska; Mika Ruusunen,Elsevier BV,0301-4797,2,
10.11113/mjfas.v15n2.1104,,2019,Malaysian Journal of Fundamental and Applied Sciences,Munirat Abolure Idris,Munirat Abolure Idris; Mohammed Saedi Jami; Ademola Monsur Hammed,Penerbit UTM Press,2289-599X,1,
10.1108/agjsr-07-2022-0129,,2023,Arab Gulf Journal of Scientific Research,Hussein Y.H. Alnajjar,Hussein Y.H. Alnajjar; Osman Üçüncü,Emerald,1985-9899,2,
10.1109/tim.2022.3152856,,2022,IEEE Transactions on Instrumentation and Measurement,Chun Fai Lui,Chun Fai Lui; Yiqi Liu; Min Xie,Institute of Electrical and Electronics Engineers (IEEE),0018-9456,152,
10.1016/j.watres.2023.119650,,2023,Water Research,M. Schwarz,M. Schwarz; J. Trippel; M. Engelhart; M. Wagner,Elsevier BV,0043-1354,11,
10.1021/acsestengg.2c00156,,2022,ACS ES&amp;T Engineering,Kuanliang Feng,Kuanliang Feng; Zihao Zhao; Mengyan Li; Luling Tian; Tong An; Jiawei Zhang; Xiangyang Xu; Liang Zhu,American Chemical Society (ACS),2690-0645,23,
10.1016/j.solener.2023.06.007,,2023,Solar Energy,Pooria Behnam,Pooria Behnam; Masoumeh Zargar; Abdellah Shafieian; Amir Razmjou; Mehdi Khiadani,Elsevier BV,0038-092X,12,
10.11591/ijai.v9.i1.pp117-125,,2020,IAES International Journal of Artificial Intelligence (IJ-AI),Syahira Ibrahim,Syahira Ibrahim; Norhaliza Abdul Wahab; Fatimah Sham Ismail; Yahaya Md Sam,Institute of Advanced Engineering and Science,2252-8938,6,
10.1038/s41545-024-00361-2,,2024,npj Clean Water,Jie Hu,Jie Hu; Ran Yin; Jinfeng Wang; Hongqiang Ren,Springer Science and Business Media LLC,2059-7037,13,
10.1016/j.rineng.2025.106879,,2025,Results in Engineering,De-Yang Show,De-Yang Show; Hui Guo; Zi-Han Ling; Jun Zhang; Zheng-Jun Zhai; Ding-Lei Zhong; Log-Ling Lee; Duu-Jong Lee; Kuan-Yeow Show,Elsevier BV,2590-1230,3,
10.1016/j.jwpe.2025.108734,,2025,Journal of Water Process Engineering,David Abert-Fernández,David Abert-Fernández; Ester Aguilera; Pere Emiliano; Fernando Valero; Hèctor Monclús,Elsevier BV,2214-7144,1,
10.1016/j.watres.2023.121018,,2024,Water Research,Zilin Li,Zilin Li; Haixing Liu; Chi Zhang; Guangtao Fu,Elsevier BV,0043-1354,103,
10.2166/aqua.2023.218,,2023,"AQUA — Water Infrastructure, Ecosystems and Society",Grigorios Kyritsakas,Grigorios Kyritsakas; Joseph B. Boxall; Vanessa L. Speight,IWA Publishing,2709-8028,8,
10.12785/ijcds/1401113,,2023,International Journal of Computing and Digital Systems,Fuad Musleh,Fuad Musleh,Deanship of Scientific Research,2210-142X,5,
10.12913/22998624/192936,,2024,Advances in Science and Technology Research Journal,Patryk Organiściak,Patryk Organiściak; Adam Andrzej Masłoń; Bartosz Kowal; Paweł Kuraś; Bartosz Wadiak; Sylwia Sikorska-Czupryna; Veronika Vanivska,WNGB Scientific Publishing House Sp. z o.o.,2080-4075,3,
10.15244/pjoes/169617,,2023,Polish Journal of Environmental Studies,Xianjun Du,Xianjun Du; Yanping Yao,HARD Publishing Company,1230-1485,2,
10.1109/icces63552.2024.10859485,,2024,2024 9th International Conference on Communication and Electronics Systems (ICCES),Pongiannan R.K.,Pongiannan R.K.; Akash Sivakumar; Shivain Kohli; Poornima P.U.; Lourde Jame S.; Pemila. M,IEEE,,2,
10.1007/s10994-023-06413-x,,2023,Machine Learning,Muhammad Kamran Janjua,Muhammad Kamran Janjua; Haseeb Shah; Martha White; Erfan Miahi; Marlos C. Machado; Adam White,Springer Science and Business Media LLC,0885-6125,1,
10.1109/icnsc48988.2020.9238099,,2020,"2020 IEEE International Conference on Networking, Sensing and Control (ICNSC)",Kai Qian,Kai Qian; Jie Jiang; Yulong Ding; Shuanghua Yang,IEEE,,19,
10.1016/j.jwpe.2025.108539,,2025,Journal of Water Process Engineering,Dongju Kim,Dongju Kim; Jong Pil Yun; Taehan Lee; Daewoong Jung; Hong-In Won,Elsevier BV,2214-7144,2,
10.1021/acs.est.5c04143,,2025,Environmental Science &amp; Technology,Jie Hu,Jie Hu; Ran Yin; Yao Pan; Jinfeng Wang; Hongqiang Ren,American Chemical Society (ACS),0013-936X,8,
