doi,paper_title,year,journal,first_author,authors,publisher,issn,cited_by_count,crossref_type
10.1007/s43615-023-00329-3,,2023,Circular Economy and Sustainability,Anthony Njuguna Matheri,Anthony Njuguna Matheri; Zanele Blessed Sithole; Belaid Mohamed,Springer Science and Business Media LLC,2730-597X,2,
10.1039/d5ra00933b,,2025,RSC Advances,Jingwei Li,Jingwei Li; Jia Liu; Iqbal Muhammad Tauqeer; Zhiyu Shao,Royal Society of Chemistry (RSC),2046-2069,2,
10.1109/access.2019.2956494,,2019,IEEE Access,Fangyi Wan,Fangyi Wan; Gaodeng Guo; Chunlin Zhang; Qing Guo; Jie Liu,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,44,
10.1109/smc58881.2025.11342533,,2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",Yingrui Geng,Yingrui Geng; Zenghui Wang; Mingcong Deng; Lin Meng,IEEE,,0,
10.1038/s41545-021-00108-3,,2021,npj Clean Water,Peter Hammond,Peter Hammond; Michael Suttie; Vaughan T. Lewis; Ashley P. Smith; Andrew C. Singer,Springer Science and Business Media LLC,2059-7037,36,
10.1108/meq-12-2019-0281,,2020,Management of Environmental Quality: An International Journal,Mohamed Turki,Mohamed Turki; Hamden Zahrani; Meriem Ayadi; Monem Kallel; Jalel Bouzid,Emerald,1477-7835,1,
10.1021/acsestengg.1c00316,,2022,ACS ES&amp;T Engineering,Jie Li,Jie Li; Le Zhang; Chunxing Li; Hailin Tian; Jing Ning; Jingxin Zhang; Yen Wah Tong; Xiaonan Wang,American Chemical Society (ACS),2690-0645,85,
10.2166/wrd.2023.046,,2023,Water Reuse,Jyoti Chauhan,Jyoti Chauhan; R. M. Rani; Vempaty Prashanthi; Hamad Almujibah; Abdullah Alshahri; Koppula Srinivas Rao; Arun Radhakrishnan,IWA Publishing,2709-6092,7,
10.1109/ie61493.2024.10599915,,2024,2024 International Conference on Intelligent Environments (IE),Marco Cardia,Marco Cardia; Stefano Chessa; Alessio Micheli; Antonella Giuliana Luminare; Massimiliano Franceschi; Francesca Gambineri,IEEE,,1,
10.1021/acs.est.5c06257,,2025,Environmental Science &amp; Technology,Haojie Ding,Haojie Ding; Ning Hao; Qilin Cao; Shengqiang Hei; Xu Zhong; Shuai Liang; Xia Huang,American Chemical Society (ACS),0013-936X,6,
10.11159/iceptp23.160,,2023,"World Congress on Civil, Structural, and Environmental Engineering",Marco Cardia,Marco Cardia; Stefano Chessa; Massimiliano Franceschi; Francesca Gambineri; Alessio Micheli,Avestia Publishing,2371-5294,7,
10.1088/1755-1315/1136/1/012047,,2023,IOP Conference Series: Earth and Environmental Science,Ehsan Kazemi,Ehsan Kazemi; Grigorios Kyritsakas; Stewart Husband; Katrina Flavell; Vanessa Speight; Joby Boxall,IOP Publishing,1755-1307,2,
10.1109/access.2020.3028683,,2020,IEEE Access,Hongbin Liu,Hongbin Liu; Chen Xin; Hao Zhang; Fengshan Zhang; Mingzhi Huang,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,21,
10.1016/j.jwpe.2024.105772,,2024,Journal of Water Process Engineering,Sama Al-Ani,Sama Al-Ani; Hui Guo; Sheila Fyfe; Zebo Long; Sylvain Donnaz; Younggy Kim,Elsevier BV,2214-7144,9,
10.1016/j.dwt.2025.101386,,2025,Desalination and Water Treatment,Kamil Kayode Katibi,Kamil Kayode Katibi; Azimov Abdugani Mutalovich; Nazmi Mat Nawi; Gani M. Iztleuov; Marat I. Sataev; Muhammad Adib Mohd Nasir,Elsevier BV,1944-3986,2,
10.1007/s44163-025-00728-5,,2025,Discover Artificial Intelligence,Bestami Özkaya,Bestami Özkaya; Faruk Dikmen; Ahmet Demir; Muhammad Owais Raza; Shtwai Alsubai; Onur Osman; Jawad Rasheed,Springer Science and Business Media LLC,2731-0809,0,
10.1061/joeedu.eeeng-7969,,2025,Journal of Environmental Engineering,Jie Zhang,Jie Zhang; Noah Tylor; Wen Zhao; Ran Rui; Charlie He,American Society of Civil Engineers (ASCE),0733-9372,2,
10.1007/s40747-021-00395-w,,2021,Complex &amp; Intelligent Systems,Lu Lu,Lu Lu; Hui Zheng; Jing Jie; Miao Zhang; Rui Dai,Springer Science and Business Media LLC,2199-4536,57,
10.13189/eer.2023.110305,,2023,Environment and Ecology Research,A. Chaoui,A. Chaoui; W. Elkhoumsi; M. Laaouan; R. Bourziza; K. Sebari,"Horizon Research Publishing Co., Ltd.",2331-625X,0,
10.1016/j.scitotenv.2022.155070,,2022,Science of The Total Environment,Jungsu Park,Jungsu Park; Woo Hyoung Lee; Keug Tae Kim; Cheol Young Park; Sanghun Lee; Tae-Young Heo,Elsevier BV,0048-9697,202,
10.1109/iet-iceta56553.2022.9971667,,2022,2022 IET International Conference on Engineering Technologies and Applications (IET-ICETA),Dennis Jefferson A. Amora,Dennis Jefferson A. Amora; Joesmart V. Apan; David Noel C. Layosa; Reimart C. Sarmiento; Jericho J. Tugado; Christian Lian Paulo P. Rioflorido,IEEE,,0,
10.1016/j.rineng.2025.106253,,2025,Results in Engineering,Emily Clements,Emily Clements; Gabriela Andrino; Kyle A. Thompson; Eric R.V. Dickenson; Deena Hannoun,Elsevier BV,2590-1230,1,
10.1016/j.dwt.2024.100895,,2024,Desalination and Water Treatment,Sukmin Yoon,Sukmin Yoon; JaeHo Shin; No-Suk Park; Minjae Kweon; Youngsoon Kim,Elsevier BV,1944-3986,4,
10.1371/journal.pone.0325234,,2025,PLOS One,Liu Bo-qi,Liu Bo-qi; Zhou Ding-jie; Zhao Yang; Shi Long-yu,Public Library of Science (PLoS),1932-6203,5,
10.1109/access.2022.3162932,,2022,IEEE Access,Rajesh Mahadeva,Rajesh Mahadeva; Mahendra Kumar; Shashikant P. Patole; Gaurav Manik,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,33,
10.1038/s41598-024-83277-8,,2024,Scientific Reports,Jingjing Sun,Jingjing Sun; Xin Guan; Xiaojun Sun; Xiaojing Cao; Yepei Tan; Jiarong Liao,Springer Science and Business Media LLC,2045-2322,18,
10.1016/j.jwpe.2024.105932,,2024,Journal of Water Process Engineering,Ahmed Elsayed,Ahmed Elsayed; Zhong Li; Kamil Khan; Robert Cormier; Charles-François de Lannoy,Elsevier BV,2214-7144,9,
10.1007/s13201-019-1018-5,,2019,Applied Water Science,Jesús Zambrano,Jesús Zambrano; Oscar Samuelsson; Bengt Carlsson,Springer Science and Business Media LLC,2190-5487,7,
10.1016/j.dwt.2025.101238,,2025,Desalination and Water Treatment,Onaira Zahoor,Onaira Zahoor; Sher Jamal Khan; Muhammad Usama; Henry J. Tanudjaja; Noreddine Ghaffour; Muhammad Saqib Nawaz,Elsevier BV,1944-3986,4,
10.1109/tr.2024.3399735,,2025,IEEE Transactions on Reliability,Wenjing Li,Wenjing Li; Chong Ding; Junfei Qiao,Institute of Electrical and Electronics Engineers (IEEE),0018-9529,6,
10.2166/wcc.2023.052,,2023,Journal of Water and Climate Change,Kashwin Selvanathan,Kashwin Selvanathan; Kishaan Ragu; Hia Hung Yi; Sara Kazemi Yazdi; Zhiyuan Chen; Reza Godary,IWA Publishing,2040-2244,6,
10.1038/s41598-021-03881-w,,2022,Scientific Reports,Nicolás M. Peleato,Nicolás M. Peleato,Springer Science and Business Media LLC,2045-2322,27,
10.1007/s13201-023-01957-8,,2023,Applied Water Science,Atef El Jery,Atef El Jery; Ayesha Noreen; Mubeen Isam; José Luis Arias-Gonzáles; Tasaddaq Younas; Nadhir Al-Ansari; Saad Sh. Sammen,Springer Science and Business Media LLC,2190-5487,18,
10.1016/j.jwpe.2023.104752,,2024,Journal of Water Process Engineering,Pang Bo Yang,Pang Bo Yang; Yi Jing Chan; Sara Kazemi Yazdi; Jun Wei Lim,Elsevier BV,2214-7144,10,
10.1088/2515-7620/ade03b,,2025,Environmental Research Communications,M. Erdem Isenkul,M. Erdem Isenkul; Sevgi Güneş-Durak; Yasemin Poyraz Kocak; İnci Pir; Mertol Tüfekci; Güler Türkoğlu Demirkol; Selçuk Sevgen; Aslı Seyhan Çığgın; Neşe Tüfekci,IOP Publishing,2515-7620,0,
10.1016/j.apenergy.2025.125781,,2025,Applied Energy,Alberto Meola,Alberto Meola; Sören Weinrich,Elsevier BV,0306-2619,5,
10.1088/1755-1315/1136/1/012048,,2023,IOP Conference Series: Earth and Environmental Science,Grigorios Kyritsakas,Grigorios Kyritsakas; Vanessa Speight; Joby Boxall,IOP Publishing,1755-1307,3,
10.1109/iscsic60498.2023.00050,,2023,2023 7th International Symposium on Computer Science and Intelligent Control (ISCSIC),Khadim Gueye,Khadim Gueye; Aliou Boly; Ndiouma Bame,IEEE,,3,
10.1186/s44147-022-00164-7,,2022,Journal of Engineering and Applied Science,Victor Ifeanyi Ugonabo,Victor Ifeanyi Ugonabo; Prosper Eguono Ovuoraye; Ahmad Chowdhury; Endrit Fetahi,Springer Science and Business Media LLC,1110-1903,16,
10.1155/2021/5264531,,2021,Mathematical Problems in Engineering,Qiang Lin,Qiang Lin; Ancheng Luo; Yan Zhang; Yunlong Wang; Zhiwei Liang; Ping Yuan,Wiley,1563-5147,3,
10.1007/s11947-023-03033-0,,2023,Food and Bioprocess Technology,Magdalena Cifuentes-Cabezas,Magdalena Cifuentes-Cabezas; José Luis Bohórquez-Zurita; Sandra Gil-Herrero; María Cinta Vincent-Vela; José Antonio Mendoza-Roca; Silvia Álvarez-Blanco,Springer Science and Business Media LLC,1935-5130,22,
10.12912/27197050/132088,,2021,Ecological Engineering &amp; Environmental Technology,Esra'a Bashayreh,Esra'a Bashayreh; Ahmad Manasrah; Shahnaz Alkhalil; Eman Abdelhafez,WNGB Scientific Publishing House Sp. z o.o.,2719-7050,3,
10.1109/phm-chongqing.2018.00128,,2018,2018 Prognostics and System Health Management Conference (PHM-Chongqing),Tingting Yu,Tingting Yu; Yun Bai,IEEE,,1,
10.1109/access.2024.3458186,,2024,IEEE Access,Zuzanna Klawikowska,Zuzanna Klawikowska; Michał Grochowski,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,7,
10.1021/acsestengg.2c00090,,2022,ACS ES&amp;T Engineering,Wenjin Zhang,Wenjin Zhang; Stephany P. Wei; Mari K.H. Winkler; Amy V. Mueller,American Chemical Society (ACS),2690-0645,7,
10.1007/s13201-018-0821-8,,2018,Applied Water Science,Satyam Srivastava,Satyam Srivastava; Saikrishna Vaddadi; Pankaj Kumar; Shashikant Sadistap,Springer Science and Business Media LLC,2190-5487,16,
10.1016/j.cep.2024.109736,,2024,Chemical Engineering and Processing - Process Intensification,Oscar A. Prado-Rubio,Oscar A. Prado-Rubio; Jakob K. Huusom,Elsevier BV,0255-2701,3,
10.2166/aqua.2023.062,,2023,"AQUA — Water Infrastructure, Ecosystems and Society",Bing Li,Bing Li; Siyuan Mao; Tuo Tian; Huaibin Bi; Yuxin Tian; Xueyan Ma; Yong Qiu,IWA Publishing,2709-8028,3,
10.2166/wpt.2024.211,,2024,Water Practice &amp; Technology,Giorgio Antonini,Giorgio Antonini; Joshua M. Pearce; Franco Berruti; Domenico Santoro,IWA Publishing,1751-231X,7,
10.1155/2019/9643921,,2019,Complexity,Guangpei Sun,Guangpei Sun; Peng Jiang; Huan Xu; Shanen Yu; Dong Guo; Guang Lin; Hui Wu,Wiley,1076-2787,15,
10.1021/acsestengg.5c00054,,2025,ACS ES&amp;T Engineering,Sheng-Yu Huang,Sheng-Yu Huang; Xiao-Qiong Wu; Quan-Bao Zhao; Liang Yu; Jia-Fang Xie; Yu-Ming Zheng; Ting-Ting Zhou; Jie Li,American Chemical Society (ACS),2690-0645,4,
10.1109/jsen.2020.3010134,,2020,IEEE Sensors Journal,Arunima Sambhuta Pattanayak,Arunima Sambhuta Pattanayak; Bhawani Shankar Pattnaik; Siba K. Udgata; Ajit Kumar Panda,Institute of Electrical and Electronics Engineers (IEEE),1530-437X,42,
10.1016/j.scitotenv.2021.147138,,2021,Science of The Total Environment,Dong Wang,Dong Wang; Sven Thunéll; Ulrika Lindberg; Lili Jiang; Johan Trygg; Mats Tysklind; Nabil Souihi,Elsevier BV,0048-9697,188,
10.1016/j.envint.2025.109923,,2025,Environment International,Boris Droz,Boris Droz; Elena Fernández-Pascual; Jean O’Dwyer; Emma H. Goslan; Xie Quishi; Connie O’Driscoll; Simon Harrison; John Weatherill,Elsevier BV,0160-4120,0,
10.1186/s44147-021-00044-6,,2021,Journal of Engineering and Applied Science,Ming Li,Ming Li; Kaitang Hu; Jin Wang,Springer Science and Business Media LLC,1110-1903,15,
10.1145/3512826.3512847,,2022,2022 The 3rd International Conference on Artificial Intelligence in Electronics Engineering,Xusheng Fang,Xusheng Fang; Zhengang Zhai; Renhao Xiong; Li Zhang; Bingtao Gao,ACM,,6,
10.1155/2019/8690898,,2019,Mathematical Problems in Engineering,ZhenHua Li,ZhenHua Li; ZhiHong Zou; LiPing Wang,Wiley,1024-123X,22,
10.1016/j.jenvman.2023.117416,,2023,Journal of Environmental Management,Bowen Li,Bowen Li; Chaojie Lu; Jin Zhao; Jiayu Tian; Jingqiu Sun; Chengzhi Hu,Elsevier BV,0301-4797,17,
10.1002/wer.10960,,2024,Water Environment Research,Hesamedin Hekmatmehr,Hesamedin Hekmatmehr; Ali Esmaeili; Saeid Atashrouz; Fahimeh Hadavimoghaddam; Ali Abedi; Abdolhossein Hemmati‐Sarapardeh; Ahmad Mohaddespour,Wiley,1061-4303,0,
10.1002/ep.14494,,2024,Environmental Progress &amp; Sustainable Energy,Neelanjan Dutta,Neelanjan Dutta; Pankaj Dey; Joy Pal,Wiley,1944-7442,1,
10.1002/wer.11136,,2024,Water Environment Research,Fuad Bin Nasir,Fuad Bin Nasir; Jin Li,Wiley,1061-4303,14,
10.1038/s41598-023-36333-8,,2023,Scientific Reports,Qiu Cheng,Qiu Cheng; Zhan Chunhong; Li Qianglin,Springer Science and Business Media LLC,2045-2322,48,
10.1016/j.asej.2021.01.007,,2021,Ain Shams Engineering Journal,Balahaha Hadi Ziyad Sami,Balahaha Hadi Ziyad Sami; Wong Jee khai; Balahaha Fadi Ziyad Sami; Chow Ming Fai; Yusuf Essam; Ali Najah Ahmed; Ahmed El-Shafie,Elsevier BV,2090-4479,26,
10.1155/2019/2468189,,2019,Complexity,Zehua Huang,Zehua Huang; Renren Wu; XiaoHui Yi; Hongbin Liu; Jiannan Cai; Guoqiang Niu; Mingzhi Huang; Guangguo Ying,Wiley,1076-2787,7,
10.1109/acie51979.2021.9381095,,2021,2021 IEEE Asia Conference on Information Engineering (ACIE),Guanyu Suo,Guanyu Suo; Jing Lei; Liangehao Chen; Jianfeng Yang; Zhan Dou,IEEE,,1,
10.1109/access.2019.2900071,,2019,IEEE Access,Guang Han,Guang Han; Qi Cheng; Xiaoyun Sun; Li Li; Weiguo Di,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,9,
10.1038/s41598-023-50805-x,,2024,Scientific Reports,Rajshree Mathur,Rajshree Mathur; Meena Kumari Sharma; K. Loganathan; Mohamed Abbas; Shaik Hussain; Gaurav Kataria; Mohammed S. Alqahtani; Koppula Srinivas Rao,Springer Science and Business Media LLC,2045-2322,22,
10.14569/ijacsa.2022.0131077,,2022,International Journal of Advanced Computer Science and Applications,Batiseba Tekle,Batiseba Tekle; Azmi Alazzam; Abdulwehab Ibrahim; Ghassan Malkawi; Abdulaziz Fares NajiMoqbel; Nissar Qureshi; Ahmed Hamadat; Filomento O. Corona Jr,The Science and Information Organization,2156-5570,2,
10.1016/j.jksus.2024.103409,,2024,Journal of King Saud University - Science,Yeliz Durgun,Yeliz Durgun,Scientific Scholar,1018-3647,38,
10.1021/acsenvironau.2c00072,,2023,ACS Environmental Au,Hsiang-Yang Shyu,Hsiang-Yang Shyu; Cynthia J. Castro; Robert A. Bair; Qing Lu; Daniel H. Yeh,American Chemical Society (ACS),2694-2518,46,
10.1016/j.eswa.2025.127180,,2025,Expert Systems with Applications,Esmaeel Mohammadi,Esmaeel Mohammadi; Daniel Ortiz-Arroyo; Aviaja Anna Hansen; Mikkel Stokholm-Bjerregaard; Sébastien Gros; Akhil S. Anand; Petar Durdevic,Elsevier BV,0957-4174,13,
10.1021/acsestengg.3c00435,,2023,ACS ES&amp;T Engineering,Hunter W. Schroer,Hunter W. Schroer; Craig L. Just,American Chemical Society (ACS),2690-0645,18,
10.1021/acsestwater.3c00020,,2023,ACS ES&amp;T Water,Rabbi Sikder,Rabbi Sikder; Tianyu Zhang; Tao Ye,American Chemical Society (ACS),2690-0637,28,
10.1038/s41598-025-09463-4,,2025,Scientific Reports,Rakesh Choudhary,Rakesh Choudhary; Ajay Kumar; Priyadharsini C.; Mude Murali Naik; Moharana Choudhury; Nadeem A. Khan,Springer Science and Business Media LLC,2045-2322,22,
10.1109/southeastcon56624.2025.10971695,,2025,SoutheastCon 2025,Justin Logan,Justin Logan; Nicole Roberts; Michael Smith,IEEE,,0,
10.1021/acsestwater.3c00236,,2023,ACS ES&amp;T Water,Xingyu Wang,Xingyu Wang; Ishrat Rashid; Zhiyuan Zhao; Mayowa Oladele; Wenjun Xiang; Yuankai Huang; Edward Wazer; Jeffery McCutcheon; George Bollas; Jason Contreras; Baikun Li,American Chemical Society (ACS),2690-0637,11,
10.1109/tii.2025.3626044,,2026,IEEE Transactions on Industrial Informatics,Yi-Fan Yan,Yi-Fan Yan; Dapeng Li; Dongjuan Li; Lei Liu; Yan-Jun Liu,Institute of Electrical and Electronics Engineers (IEEE),1551-3203,0,
10.15587/1729-4061.2023.276431,,2023,Eastern-European Journal of Enterprise Technologies,Bohdana Komarysta,Bohdana Komarysta; Iryna Dzhygyrey; Vladyslav Bendiuh; Olha Yavorovska; Antonina Andreeva; Kateryna Berezenko; Iryna Meshcheriakova; Oksana Vovk; Sofiia Dokshyna; Ivan Maidanskyi,Private Company Technology Center,1729-4061,5,
10.1021/acsestengg.5c00493,,2025,ACS ES&amp;T Engineering,Zhaoyang Xiong,Zhaoyang Xiong; Leiming Cheng; Ahmed Ibrahim Yunus; Dewu Jian; Xinping Zhang; Thomas Igou; Sha Tong; Yongsheng Chen,American Chemical Society (ACS),2690-0645,3,
10.1016/j.jenvman.2025.124627,,2025,Journal of Environmental Management,Zhenghui Gao,Zhenghui Gao; Zongqiang Ren; Tianyi Cui; Yao Fu,Elsevier BV,0301-4797,6,
10.1016/j.heliyon.2023.e21351,,2023,Heliyon,Hayat Mekaoussi,Hayat Mekaoussi; Salim Heddam; Nouri Bouslimanni; Sungwon Kim; Mohammad Zounemat-Kermani,Elsevier BV,2405-8440,19,
10.1016/j.cherd.2024.05.019,,2024,Chemical Engineering Research and Design,Hasnain Ahmad Saddiqi,Hasnain Ahmad Saddiqi; Zainab Javed; Qazi Muhammad Ali; Asmat Ullah,Elsevier BV,0263-8762,17,
10.1016/j.marpolbul.2022.114493,,2023,Marine Pollution Bulletin,Aminu Ibrahim,Aminu Ibrahim; Azimah Ismail; Hafizan Juahir; Aisha B. Iliyasu; Balarabe T. Wailare; Mustapha Mukhtar; Hassan Aminu,Elsevier BV,0025-326X,85,
10.1109/icamimia54022.2021.9807734,,2021,"2021 International Conference on Advanced Mechatronics, Intelligent Manufacture and Industrial Automation (ICAMIMIA)",Putri Y Aisyah,Putri Y Aisyah; Totok Soehartanto; Riski F Finazis; Khoiruddin Afif; Rajendra Lokeswara; Fyrda Umamah,IEEE,,1,
10.15171/ehem.2016.05,,2016,Environmental Health Engineering and Management,Maryam Khodadadi,Maryam Khodadadi; Alireza Mesdaghinia; Simin Nasseri; Mohammad Taghi Ghaneian; Mohammad Hassan Ehrampoush; Mahdi Hadi,Maad Rayan Publishing Company,2423-3765,2,
10.2166/hydro.2023.122,,2023,Journal of Hydroinformatics,Christian Ortiz-Lopez,Christian Ortiz-Lopez; Andres Torres; Christian Bouchard; Manuel Rodriguez,IWA Publishing,1464-7141,8,
10.1007/s40747-020-00259-9,,2021,Complex &amp; Intelligent Systems,Bhawani Shankar Pattnaik,Bhawani Shankar Pattnaik; Arunima Sambhuta Pattanayak; Siba Kumar Udgata; Ajit Kumar Panda,Springer Science and Business Media LLC,2199-4536,52,
10.1109/icipca65645.2025.11138690,,2025,2025 IEEE 3rd International Conference on Image Processing and Computer Applications (ICIPCA),Yunxiao Liang,Yunxiao Liang,IEEE,,1,
10.1038/s41545-024-00308-7,,2024,npj Clean Water,Pankaj Singh Chauhan,Pankaj Singh Chauhan; Kirtiman Singh; Aditya Choudhary; Urmila Brighu; S. K. Singh; Shantanu Bhattacharya,Springer Science and Business Media LLC,2059-7037,23,
10.1021/acsestengg.4c00042,,2024,ACS ES&amp;T Engineering,Taylor R. Grimm,Taylor R. Grimm; Amos Branch; Kyle A. Thompson; Andrew Salveson; John Zhao; Darrell Johnson; Amanda S. Hering; Kathryn B. Newhart,American Chemical Society (ACS),2690-0645,1,
10.1007/s11270-024-07659-4,,2024,"Water, Air, &amp; Soil Pollution",Gelasius Gregory Msemwa,Gelasius Gregory Msemwa; Mahmoud Nasr; Amal Abdelhaleem; Manabu Fujii; Mona G. Ibrahim,Springer Science and Business Media LLC,0049-6979,16,
10.1155/2021/9202127,,2021,BioMed Research International,Yong Yang,Yong Yang; Shuaishuai Zheng; Zhilu Ai; Mohammad Mahdi Molla Jafari,Wiley,2314-6133,26,
10.1109/idaacs68557.2025.11322119,,2025,2025 IEEE 13th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),Vasyl Dombrovskyi,Vasyl Dombrovskyi; Bohdan Derysh; Bohdan Rusyn; Lesia Dubchak; Arkadiusz Banasik; Maksym Palka,IEEE,,0,
10.1590/0104-6632.20180354s20170039,,2018,Brazilian Journal of Chemical Engineering,F. C. de Menezes,F. C. de Menezes; R. M. Fontes; K. P. Oliveira-Esquerre; R. Kalid,FapUNIFESP (SciELO),1678-4383,12,
10.1016/j.jenvman.2023.118594,,2023,Journal of Environmental Management,Francesca Bellamoli,Francesca Bellamoli; Mattia Di Iorio; Marco Vian; Farid Melgani,Elsevier BV,0301-4797,43,
10.1016/j.watres.2023.119874,,2023,Water Research,Sina Moradi,Sina Moradi; Amr Omar; Zhuoyu Zhou; Anthony Agostino; Ziba Gandomkar; Heriberto Bustamante; Kaye Power; Rita Henderson; Greg Leslie,Elsevier BV,0043-1354,26,
10.1002/wer.70205,,2025,Water Environment Research,Thanh Nhat Nguyen,Thanh Nhat Nguyen; Khac‐Uan Do; Thuy Phuong Nhat Tran; Tuyen Van Nguyen; Quang Xuan Chu,Wiley,1061-4303,1,
10.14569/ijacsa.2022.0130271,,2022,International Journal of Advanced Computer Science and Applications,Parul Yadav,Parul Yadav; Aditya Chaudhary; Anand Keshari; Nitish Kumar Chaudhary; Priyanshu Sharma; Kumar Saurabh; Brijesh Singh Yadav,The Science and Information Organization,2156-5570,1,
10.1109/idaacs68557.2025.11322245,,2025,2025 IEEE 13th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),Lesia Dubchak,Lesia Dubchak; Leonid Bytsyura; Carsten Wolff; Anatoliy Sachenko; Bohdan Derysh; Nadiia Vasylkiv,IEEE,,0,
10.1016/j.jwpe.2024.105695,,2024,Journal of Water Process Engineering,Joyce Chen Yen Ngu,Joyce Chen Yen Ngu; Wan Sieng Yeo; Mieow Kee Chan; Jobrun Nandong,Elsevier BV,2214-7144,3,
10.15244/pjoes/108925,,2020,Polish Journal of Environmental Studies,Bartosz Szeląg,Bartosz Szeląg; Jan Studziński; Krzysztof Chmielowski; Ewa Dacewicz; Piotr Siwicki; Dorota Mirosław-Świątek; Justyna Lisowska,HARD Publishing Company,1230-1485,1,
10.1038/s41545-021-00125-2,,2021,npj Clean Water,Michael De Santi,Michael De Santi; Usman T. Khan; Matthew Arnold; Jean-François Fesselet; Syed Imran Ali,Springer Science and Business Media LLC,2059-7037,10,
10.1155/2022/3498060,,2022,Computational Intelligence and Neuroscience,Yaqi Ma,Yaqi Ma,Wiley,1687-5273,0,
10.1155/2022/7104752,,2022,Journal of Environmental and Public Health,Charles Onyutha,Charles Onyutha,Wiley,1687-9805,12,
10.1109/iccebs58601.2023.10449164,,2023,2023 Intelligent Computing and Control for Engineering and Business Systems (ICCEBS),Mohanraj K,Mohanraj K; Madhumita S; Harini M; Rohind Praveen Raj S; Balaji N; Jayanthi G,IEEE,,1,
10.1155/2022/1767295,,2022,Wireless Communications and Mobile Computing,Xun Zhang,Xun Zhang; Yanhui Gu,Wiley,1530-8669,4,
10.1111/jfpp.14219,,2019,Journal of Food Processing and Preservation,Bojana Ikonić,Bojana Ikonić; Oskar Bera; Jelena Pavličević; Predrag Kojić; Aleksandar Jokić; Predrag Ikonić; Milica Pojić; Žana Šaranović,Wiley,0145-8892,3,
10.21307/ijssis-2021-016,,2021,International Journal on Smart Sensing and Intelligent Systems,M. H. Husin,M. H. Husin; M. F. Rahmat; N. A. Wahab; M. F. M. Sabri,Walter de Gruyter GmbH,1178-5608,1,
10.1117/12.3074589,,2025,International Symposium on Artificial Intelligence Innovations (IS-AII 2025),Zhigang Mao,Zhigang Mao; xun zhang; Di Lei,SPIE,,0,
10.1061/joeedu.eeeng-7467,,2024,Journal of Environmental Engineering,Haochen Li,Haochen Li; David Spelman; John Sansalone,American Society of Civil Engineers (ASCE),0733-9372,13,
10.1021/acsestengg.4c00276,,2024,ACS ES&amp;T Engineering,Yuxuan Li,Yuxuan Li; Mahuizi Lu; Luiza C. Campos; Yukun Hu,American Chemical Society (ACS),2690-0645,6,
10.1109/i2mtc.2017.7969924,,2017,2017 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),S. Graziani,S. Graziani; M. G. Xibilia,IEEE,,13,
10.1039/d3va00124e,,2023,Environmental Science: Advances,Nadeem Baig,Nadeem Baig; S. I. Abba; Jamilu Usman; Mohammed Benaafi; Isam H. Aljundi,Royal Society of Chemistry (RSC),2754-7000,20,
10.1016/j.jenvman.2024.120510,,2024,Journal of Environmental Management,Ahmed Elsayed,Ahmed Elsayed; Maysara Ghaith; Ahmed Yosri; Zhong Li; Wael El-Dakhakhni,Elsevier BV,0301-4797,27,
10.1007/s13399-023-04593-z,,2023,Biomass Conversion and Biorefinery,KeChrist Obileke,KeChrist Obileke; Stephen Tangwe; Golden Makaka; Patrick Mukumba,Springer Science and Business Media LLC,2190-6815,3,
10.1109/raaicon64172.2024.10928615,,2024,"2024 IEEE 3rd International Conference on Robotics, Automation, Artificial-Intelligence and Internet-of-Things (RAAICON)",Shuvendu Pal Shuvo,Shuvendu Pal Shuvo; Shirshendu Pal Shibazee; Arifa Akter Khuki; Chaitee Das; Goutam Paul; Mitaly Paul Mita,IEEE,,3,
10.1016/j.wroa.2024.100244,,2024,Water Research X,S. Wei,S. Wei; R. Richard; D. Hogue; I. Mondal; T. Xu; T.H. Boyer; K.A. Hamilton,Elsevier BV,2589-9147,5,
10.1051/e3sconf/202568000049/pdf,,,,,,,,,
10.1016/j.crgsc.2021.100078,,2021,Current Research in Green and Sustainable Chemistry,Chinenye Adaobi Igwegbe,Chinenye Adaobi Igwegbe; Okechukwu Dominic Onukwuli; Joshua O. Ighalo; Mathew Chukwudi Menkiti,Elsevier BV,2666-0865,70,
10.1016/j.compchemeng.2022.107738,,2022,Computers &amp; Chemical Engineering,Laura Debel Hansen,Laura Debel Hansen; Mikkel Stokholm-Bjerregaard; Petar Durdevic,Elsevier BV,0098-1354,55,
10.1007/s10311-022-01524-8,,2022,Environmental Chemistry Letters,Guocheng Zhu,Guocheng Zhu; Jialin Lin; Haiquan Fang; Fang Yuan; Xiaoshang Li; Cheng Yuan; Andrew S. Hursthouse,Springer Science and Business Media LLC,1610-3653,12,
